Income ($),Monthly Expenses ($),Dependents,Job Stability (1-10),Lifestyle Cost (1-10),Recommended Emergency Fund ($)
17795,11330.999467687345,3,7,9,52122.6
2860,1535.0181312905775,1,4,10,6754.08
7390,3973.3280573218635,2,9,6,17879.98
13964,8721.430180936011,2,1,10,35757.86
13284,11846.727144883249,4,8,3,48571.58
8265,4712.141872254153,5,7,8,21204.64
18850,9554.394707811396,3,2,8,38217.58
6426,5175.151912889253,1,8,2,20700.61
16423,13512.27272884198,4,1,6,49995.41
13363,8532.565857087064,5,9,7,39249.8
18023,12361.426452244246,4,9,2,50681.85
10322,7843.785580895442,5,2,10,32943.9
3685,1913.3388542664275,5,7,2,7462.02
2769,2435.773812310619,3,10,10,12178.87
4433,3788.761662756898,5,3,1,12881.79
7311,4418.457312100508,4,7,8,19883.06
7051,3568.6649254350014,5,10,1,14631.53
8420,7353.8134856116985,3,9,9,35298.3
19568,13705.739379381515,3,4,6,54822.96
8396,6009.4452227067695,4,1,7,22835.89
10666,8251.063025760228,2,2,10,34654.46
4747,3542.8781909435684,2,1,7,13462.94
2189,1920.9714889533989,5,5,10,8644.37
5005,4392.891697444586,1,5,3,16692.99
3899,3301.983456772384,5,7,2,12877.74
3267,2465.1522211424476,4,9,9,11832.73
19912,16335.400942286378,4,9,8,76776.38
13394,10324.997111151062,4,3,10,44397.49
5556,4052.2509134117045,4,3,7,16209.0
5890,3247.7468322190925,4,3,9,13640.54
10838,8935.73234698592,3,4,4,33955.78
16502,13667.877051490703,2,8,4,57405.08
12627,9474.996085749024,4,6,1,35057.49
10792,8937.61859919181,1,8,8,41113.05
12555,9549.256524269813,1,1,3,32467.47
12253,7139.501384627904,1,8,7,32127.76
10433,6359.794576536555,1,4,2,22895.26
12233,7166.527480557016,3,1,2,23649.54
13016,8472.161690918134,1,8,7,38124.73
4612,2377.8791864859186,4,4,6,9511.52
17787,13292.25273628724,5,6,3,51839.79
19159,12158.716881221244,1,8,9,57145.97
14206,10829.07830328753,3,4,10,47647.94
10226,6689.426338397548,3,3,6,26088.76
16541,12780.328679391567,1,9,10,62623.61
5152,3277.959112751906,5,3,10,14095.22
3585,2166.3359534902847,1,9,6,9748.51
5943,4150.680236346286,3,2,1,13697.24
3021,2347.7887094433395,2,2,4,8452.04
13653,8728.835864239802,4,2,10,36661.11
12805,11200.011833804932,3,6,6,47040.05
15417,7950.154239343375,1,3,6,31005.6
9989,6664.445164322766,4,9,5,29323.56
11692,10371.180723349893,1,4,1,36299.13
14990,10780.639411955532,1,1,8,42044.49
8873,5939.483068439974,2,4,5,23163.98
7675,5582.8572711123725,4,1,5,20098.29
2161,1578.3292028530884,4,5,7,6628.98
6297,4991.374366048734,2,4,4,18967.22
2995,1650.4722958481136,3,8,6,7262.08
13534,8120.489049476305,1,8,4,34106.05
9629,7050.523317943803,5,7,3,28202.09
3016,2554.0894749378085,1,3,7,10216.36
10529,7630.857760632717,1,1,8,29760.35
19262,11469.341085312613,3,1,4,40142.69
11268,8698.196391966389,1,3,2,30443.69
14185,11290.742306778404,2,6,10,51937.41
8331,4959.398154271021,2,7,3,19837.59
10571,6882.688822307845,4,6,1,25465.95
9208,6572.034950507771,5,6,8,28916.95
7276,5083.191689364029,1,6,3,19824.45
18448,12099.069781828746,1,3,10,52026.0
18216,11276.688935544642,3,6,7,48489.76
10006,5403.1795123766415,2,8,10,25935.26
4568,2381.7283342167925,5,2,5,8812.39
4027,3557.518643179456,4,5,10,16008.83
4695,3938.434824611518,2,1,5,14178.37
17422,11184.263291296607,4,1,7,42500.2
7258,6406.784329699129,3,5,9,28189.85
8736,6732.9047540202855,3,3,5,25585.04
2391,1656.9830362382233,1,4,1,5799.44
15986,11145.60326605603,5,3,10,47926.09
14666,7821.579669835871,4,1,10,32068.48
7892,4235.491652065573,2,1,1,13553.57
5561,4120.5695955744495,3,5,2,15246.11
8184,5904.602312159213,1,6,6,24799.33
10392,6080.267314036715,1,3,9,25537.12
15067,13236.02527103937,4,9,8,62209.32
17265,14028.130524554124,3,5,5,56112.52
4454,2429.148534954285,5,8,1,9473.68
13837,12071.006414158028,3,1,7,45869.82
16039,14269.886806673361,4,5,5,57079.55
12965,11647.399421169286,4,3,6,45424.86
11762,6143.862608525996,3,1,7,23346.68
7056,5608.209155486944,4,4,3,20750.37
16948,12174.872189102492,3,5,10,54786.92
10110,7909.38252080544,2,7,3,31637.53
15773,13997.91884492161,3,1,5,50392.51
19412,15048.415423007144,3,3,6,58688.82
2502,2088.633445336764,4,2,9,8563.4
